,presapp_foreignstr,guarpr_dpc,guarpr_rpc,envir_gwarm,envir_nuke,envir_drill,envjob_rpc,envjob_dpc,inspre_dpc,inspre_rpc,ineq_incgap_x,ineqinc_ineqreduc,econcand_rwin,econcand_dwin,immigpo_level,immigpo_jobs,immig_policy,milln_milltax_x,iran_nukeinvd,iran_nuksanct,china_econ,war_worthit,war_terror,israel_support,defsppr_dpc,defsppr_rpc,prevote_intpreswho,postvote_presvtwho,prevote_intpresst
17,2,3.0,5.0,2,2,3,5.0,3.0,1.0,4.0,4.0,2,3.0,1.0,3.0,2.0,3.0,7.0,1,1,3,2,3,2,6.0,3.0,1.0,1.0,1.0
18,1,4.0,4.0,1,2,2,4.0,4.0,6.0,6.0,4.0,2,2.0,1.0,3.0,4.0,3.0,3.0,2,2,2,1,2,2,4.0,4.0,-1.0,-1.0,-1.0
19,2,1.0,1.0,2,2,1,1.0,1.0,1.0,7.0,5.0,3,3.0,1.0,1.0,4.0,1.0,1.0,1,2,2,1,2,2,1.0,7.0,-1.0,-1.0,-1.0
20,2,1.0,5.0,1,3,3,6.0,2.0,1.0,2.0,4.0,1,1.0,2.0,3.0,1.0,3.0,6.0,1,2,1,1,2,2,2.0,5.0,2.0,2.0,2.0
21,2,1.0,5.0,2,2,1,4.0,2.0,1.0,5.0,2.0,2,1.0,3.0,2.0,4.0,1.0,4.0,2,2,2,1,2,2,1.0,6.0,-1.0,-1.0,-1.0
22,2,3.0,4.0,2,1,3,4.0,1.0,7.0,4.0,4.0,3,2.0,2.0,2.0,3.0,2.0,7.0,3,3,1,1,3,2,5.0,5.0,2.0,-1.0,1.0
23,2,-1.0,-1.0,2,2,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1,2.0,2.0,-1.0,-1.0,3.0,-1.0,-1,-1,-1,1,2,-1,-1.0,-1.0,-1.0,-1.0,-1.0
24,1,3.0,5.0,2,-1,3,-1.0,-1.0,2.0,5.0,4.0,3,2.0,2.0,4.0,1.0,3.0,6.0,3,3,3,-1,1,1,-1.0,-1.0,2.0,2.0,2.0
25,-1,5.0,2.0,2,3,3,5.0,2.0,2.0,6.0,5.0,-1,3.0,2.0,-1.0,-1.0,1.0,-1.0,-1,-1,-1,1,3,-1,4.0,3.0,1.0,-1.0,2.0
26,2,3.0,5.0,2,2,3,4.0,4.0,1.0,7.0,4.0,2,1.0,3.0,3.0,3.0,3.0,3.0,3,3,3,1,2,1,2.0,6.0,2.0,2.0,1.0
27,2,1.0,7.0,2,2,3,6.0,1.0,1.0,7.0,5.0,2,1.0,2.0,3.0,1.0,2.0,7.0,1,3,3,1,1,2,1.0,4.0,2.0,2.0,1.0
28,1,4.0,4.0,2,2,3,2.0,4.0,4.0,3.0,4.0,1,3.0,3.0,2.0,3.0,2.0,7.0,3,3,1,1,3,3,4.0,2.0,-1.0,1.0,-1.0
29,1,4.0,6.0,2,2,3,7.0,3.0,3.0,7.0,5.0,3,3.0,-1.0,2.0,2.0,3.0,7.0,1,1,1,1,1,2,5.0,6.0,1.0,1.0,1.0
30,2,6.0,7.0,2,3,1,6.0,4.0,3.0,6.0,5.0,2,2.0,1.0,3.0,1.0,3.0,7.0,1,3,1,1,1,3,5.0,7.0,1.0,1.0,1.0
31,-1,5.0,3.0,1,2,2,4.0,5.0,4.0,3.0,3.0,2,1.0,1.0,3.0,2.0,3.0,4.0,2,2,3,-1,2,2,6.0,5.0,-1.0,-1.0,-1.0
32,2,-1.0,-1.0,1,1,3,5.0,5.0,5.0,2.0,-1.0,2,3.0,1.0,2.0,1.0,4.0,6.0,3,-1,1,1,3,3,4.0,5.0,1.0,1.0,1.0
33,-1,3.0,6.0,2,-1,2,5.0,4.0,4.0,6.0,-1.0,2,3.0,2.0,3.0,2.0,2.0,6.0,3,3,1,1,2,-1,4.0,5.0,1.0,1.0,1.0
34,2,5.0,5.0,2,2,3,5.0,5.0,4.0,4.0,3.0,1,2.0,1.0,4.0,2.0,3.0,5.0,-1,3,-1,1,1,3,5.0,4.0,-1.0,-1.0,-1.0
35,2,3.0,7.0,2,1,2,2.0,2.0,1.0,1.0,5.0,3,2.0,2.0,2.0,2.0,2.0,7.0,1,3,1,1,3,2,1.0,2.0,-1.0,5.0,-1.0
36,2,1.0,7.0,2,1,1,4.0,1.0,3.0,7.0,5.0,1,3.0,2.0,3.0,3.0,3.0,2.0,3,3,2,2,3,2,6.0,7.0,-1.0,1.0,-1.0
37,2,3.0,6.0,2,1,2,4.0,2.0,1.0,5.0,1.0,1,3.0,1.0,5.0,1.0,3.0,7.0,2,3,1,1,2,1,5.0,2.0,1.0,-1.0,1.0
38,1,3.0,5.0,2,1,1,5.0,3.0,1.0,6.0,5.0,3,2.0,1.0,3.0,1.0,3.0,7.0,1,3,3,1,3,2,2.0,4.0,1.0,1.0,1.0
39,2,3.0,7.0,1,-1,-1,3.0,4.0,4.0,6.0,5.0,2,3.0,2.0,5.0,4.0,4.0,7.0,3,3,1,1,1,2,5.0,3.0,-1.0,-1.0,-1.0
40,2,3.0,5.0,1,2,3,3.0,4.0,1.0,4.0,3.0,1,1.0,3.0,4.0,1.0,2.0,6.0,2,3,3,2,2,2,1.0,6.0,2.0,2.0,1.0
41,2,4.0,6.0,2,2,3,1.0,3.0,4.0,7.0,5.0,2,-1.0,1.0,3.0,3.0,4.0,5.0,2,3,1,2,1,2,6.0,7.0,1.0,1.0,1.0
42,2,3.0,5.0,2,1,2,2.0,3.0,3.0,5.0,4.0,3,1.0,1.0,3.0,2.0,3.0,6.0,1,3,3,2,1,1,3.0,5.0,1.0,1.0,1.0
43,2,1.0,7.0,1,2,3,6.0,1.0,1.0,6.0,4.0,1,1.0,3.0,2.0,2.0,4.0,2.0,3,3,3,1,3,1,1.0,7.0,2.0,2.0,1.0
44,2,1.0,6.0,2,2,3,6.0,1.0,1.0,6.0,-1.0,1,2.0,3.0,3.0,2.0,2.0,2.0,1,3,1,2,2,2,1.0,6.0,2.0,2.0,1.0
45,2,2.0,6.0,1,1,2,5.0,2.0,1.0,6.0,5.0,1,1.0,2.0,2.0,2.0,2.0,5.0,1,3,2,-1,2,1,-1.0,-1.0,2.0,2.0,1.0
46,2,2.0,6.0,2,2,3,7.0,1.0,1.0,5.0,3.0,1,1.0,3.0,3.0,1.0,3.0,7.0,3,3,1,2,2,1,3.0,5.0,2.0,2.0,1.0
47,2,1.0,5.0,2,3,2,6.0,1.0,1.0,5.0,3.0,1,1.0,3.0,3.0,3.0,2.0,2.0,2,1,1,1,3,2,2.0,5.0,2.0,2.0,1.0
48,2,4.0,4.0,2,2,3,-1.0,-1.0,1.0,5.0,4.0,1,1.0,2.0,3.0,2.0,3.0,7.0,2,-1,1,2,1,1,3.0,5.0,2.0,-1.0,2.0
49,2,1.0,5.0,2,2,3,5.0,1.0,1.0,5.0,4.0,1,1.0,3.0,2.0,3.0,2.0,6.0,1,3,1,2,3,1,1.0,5.0,2.0,2.0,1.0
50,2,2.0,7.0,2,2,2,-1.0,3.0,3.0,7.0,4.0,3,3.0,1.0,2.0,2.0,3.0,4.0,2,3,2,1,1,2,4.0,7.0,1.0,1.0,1.0
51,-1,2.0,-1.0,2,-1,2,-1.0,-1.0,1.0,-1.0,4.0,1,2.0,3.0,3.0,1.0,1.0,7.0,-1,-1,-1,2,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0
52,2,1.0,4.0,1,1,1,7.0,6.0,1.0,4.0,5.0,2,2.0,3.0,-1.0,2.0,3.0,2.0,1,2,2,1,3,3,7.0,7.0,5.0,5.0,1.0
53,2,6.0,6.0,-1,1,2,-1.0,5.0,6.0,-1.0,5.0,3,1.0,1.0,1.0,4.0,1.0,5.0,1,3,1,1,-1,2,6.0,5.0,2.0,2.0,1.0
54,-1,-1.0,-1.0,2,3,3,-1.0,-1.0,1.0,4.0,3.0,2,2.0,3.0,3.0,4.0,3.0,7.0,1,3,1,1,2,2,4.0,5.0,-1.0,-1.0,-1.0
55,2,4.0,5.0,2,1,3,5.0,2.0,5.0,2.0,5.0,1,3.0,1.0,3.0,2.0,4.0,7.0,3,3,1,2,1,3,5.0,3.0,-1.0,-1.0,-1.0
56,2,6.0,6.0,2,1,3,5.0,3.0,7.0,3.0,5.0,3,1.0,2.0,3.0,2.0,2.0,4.0,1,3,1,1,3,2,2.0,7.0,2.0,-1.0,1.0
57,1,3.0,-1.0,2,2,3,-1.0,3.0,2.0,6.0,5.0,3,2.0,1.0,2.0,1.0,3.0,7.0,1,1,1,1,2,3,5.0,-1.0,-1.0,-1.0,-1.0
58,1,3.0,6.0,1,2,3,5.0,3.0,1.0,7.0,4.0,2,3.0,1.0,2.0,1.0,3.0,6.0,1,3,1,1,2,2,4.0,5.0,1.0,1.0,1.0
59,1,3.0,7.0,2,3,3,6.0,3.0,4.0,6.0,5.0,3,2.0,1.0,3.0,2.0,3.0,7.0,1,3,2,1,2,2,5.0,4.0,1.0,1.0,1.0
60,2,1.0,5.0,1,2,3,4.0,2.0,1.0,5.0,5.0,1,1.0,3.0,1.0,4.0,1.0,2.0,1,3,1,2,3,3,1.0,5.0,2.0,2.0,1.0
61,2,1.0,7.0,2,2,1,7.0,1.0,1.0,7.0,5.0,2,2.0,1.0,3.0,2.0,-1.0,7.0,1,-1,3,1,2,3,4.0,7.0,1.0,1.0,1.0
62,2,4.0,7.0,2,1,1,7.0,2.0,5.0,7.0,5.0,3,3.0,1.0,3.0,1.0,3.0,7.0,2,3,2,1,3,2,5.0,7.0,-1.0,-1.0,-1.0
63,1,4.0,7.0,2,2,2,3.0,-1.0,2.0,6.0,3.0,1,1.0,2.0,2.0,2.0,3.0,6.0,1,2,1,1,2,2,3.0,4.0,2.0,2.0,2.0
64,2,1.0,6.0,2,2,3,6.0,3.0,1.0,4.0,-1.0,1,3.0,3.0,3.0,2.0,2.0,1.0,1,2,1,2,2,-1,3.0,4.0,-1.0,-1.0,-1.0
65,2,7.0,7.0,2,1,1,6.0,6.0,7.0,7.0,4.0,2,3.0,3.0,2.0,3.0,4.0,6.0,1,1,-1,1,3,1,5.0,5.0,-1.0,-1.0,-1.0
66,2,3.0,7.0,2,1,1,7.0,3.0,3.0,7.0,5.0,3,3.0,1.0,2.0,4.0,3.0,6.0,1,3,1,2,2,2,7.0,4.0,1.0,1.0,1.0
67,-1,2.0,5.0,2,2,2,4.0,3.0,2.0,5.0,4.0,2,2.0,1.0,3.0,2.0,3.0,7.0,1,3,2,1,2,2,5.0,5.0,1.0,-1.0,1.0
68,1,3.0,3.0,2,2,1,3.0,3.0,3.0,4.0,3.0,2,1.0,1.0,-1.0,2.0,3.0,6.0,-1,-1,1,-1,1,2,6.0,6.0,1.0,-1.0,1.0
69,2,1.0,4.0,-1,2,3,5.0,2.0,1.0,4.0,5.0,1,3.0,3.0,2.0,3.0,2.0,7.0,1,3,3,2,1,2,3.0,4.0,1.0,-1.0,-1.0
70,2,2.0,7.0,-1,2,-1,-1.0,2.0,3.0,7.0,4.0,3,3.0,1.0,3.0,1.0,3.0,7.0,1,3,1,1,3,3,4.0,6.0,1.0,1.0,1.0
71,2,5.0,3.0,2,3,2,5.0,2.0,5.0,2.0,4.0,3,2.0,1.0,3.0,1.0,3.0,6.0,1,1,1,1,1,3,4.0,3.0,1.0,1.0,1.0
72,1,1.0,5.0,2,3,3,6.0,2.0,2.0,4.0,3.0,1,2.0,3.0,5.0,2.0,3.0,4.0,1,3,1,1,2,3,2.0,5.0,2.0,2.0,2.0
73,2,1.0,7.0,2,-1,3,7.0,1.0,-1.0,-1.0,5.0,1,3.0,1.0,5.0,1.0,3.0,7.0,-1,-1,2,1,3,3,1.0,7.0,-1.0,-1.0,-1.0
74,1,1.0,7.0,2,1,2,5.0,4.0,1.0,5.0,5.0,1,1.0,2.0,3.0,2.0,2.0,6.0,1,3,1,1,2,3,4.0,4.0,2.0,2.0,1.0
75,2,1.0,7.0,2,1,3,7.0,3.0,1.0,7.0,5.0,2,1.0,3.0,3.0,1.0,3.0,6.0,2,3,1,2,1,2,2.0,6.0,2.0,2.0,1.0
76,2,2.0,6.0,2,2,1,3.0,2.0,1.0,7.0,4.0,2,1.0,3.0,1.0,4.0,3.0,7.0,1,3,1,2,2,2,3.0,5.0,2.0,2.0,1.0
77,1,5.0,5.0,2,1,2,4.0,4.0,4.0,5.0,5.0,1,2.0,2.0,1.0,2.0,3.0,7.0,3,2,2,1,2,3,4.0,4.0,-1.0,-1.0,-1.0
78,2,3.0,5.0,2,2,3,3.0,4.0,3.0,5.0,2.0,2,2.0,3.0,5.0,2.0,2.0,4.0,1,2,2,1,3,2,3.0,5.0,2.0,2.0,2.0
79,-1,2.0,7.0,2,-1,3,-1.0,-1.0,2.0,5.0,-1.0,3,-1.0,1.0,3.0,3.0,2.0,7.0,1,2,2,-1,2,3,-1.0,-1.0,1.0,-1.0,1.0
80,2,3.0,7.0,2,3,1,7.0,1.0,1.0,7.0,5.0,3,1.0,1.0,4.0,2.0,3.0,7.0,1,3,1,1,3,2,4.0,7.0,1.0,1.0,1.0
81,-1,3.0,6.0,1,1,3,4.0,3.0,2.0,7.0,4.0,-1,2.0,1.0,-1.0,-1.0,2.0,-1.0,-1,-1,-1,1,2,-1,4.0,4.0,-1.0,-1.0,-1.0
82,1,3.0,7.0,2,3,3,7.0,3.0,3.0,6.0,5.0,3,3.0,2.0,5.0,1.0,3.0,7.0,1,3,3,2,1,3,4.0,6.0,1.0,1.0,1.0
83,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,3.0,5.0,-1.0,2,2.0,2.0,-1.0,3.0,2.0,1.0,3,3,-1,-1,2,-1,4.0,4.0,-1.0,-1.0,-1.0
84,2,3.0,3.0,2,2,2,3.0,4.0,2.0,6.0,5.0,2,2.0,2.0,3.0,2.0,3.0,4.0,1,2,-1,1,2,2,3.0,3.0,-1.0,2.0,-1.0
85,2,6.0,7.0,2,3,3,7.0,2.0,1.0,7.0,5.0,1,1.0,1.0,3.0,2.0,1.0,7.0,3,3,3,2,2,3,4.0,6.0,1.0,1.0,1.0
86,2,2.0,6.0,2,1,2,6.0,3.0,1.0,6.0,5.0,1,2.0,1.0,3.0,2.0,3.0,1.0,2,2,2,1,1,1,6.0,3.0,-1.0,-1.0,-1.0
87,1,4.0,5.0,2,2,1,3.0,2.0,2.0,4.0,2.0,1,3.0,1.0,1.0,3.0,2.0,7.0,3,3,3,1,2,2,4.0,2.0,1.0,-1.0,2.0
88,1,2.0,6.0,2,2,1,5.0,2.0,3.0,6.0,3.0,2,1.0,2.0,1.0,3.0,3.0,6.0,3,3,1,1,1,2,3.0,5.0,-1.0,5.0,-1.0
89,-1,4.0,5.0,2,2,3,4.0,3.0,2.0,5.0,5.0,2,1.0,1.0,2.0,3.0,3.0,7.0,1,1,1,1,2,2,4.0,4.0,-1.0,2.0,-1.0
90,2,1.0,6.0,1,3,3,5.0,2.0,1.0,6.0,4.0,1,1.0,3.0,3.0,2.0,3.0,4.0,1,3,1,1,2,1,4.0,6.0,2.0,2.0,1.0
91,2,2.0,6.0,2,2,3,2.0,2.0,1.0,5.0,5.0,1,1.0,3.0,2.0,3.0,2.0,5.0,1,3,1,1,2,2,2.0,6.0,2.0,2.0,1.0
92,2,6.0,4.0,2,2,3,5.0,5.0,5.0,5.0,5.0,-1,1.0,2.0,-1.0,-1.0,3.0,-1.0,-1,-1,-1,1,1,-1,5.0,4.0,2.0,-1.0,1.0
93,-1,3.0,7.0,2,2,1,7.0,3.0,1.0,7.0,5.0,1,1.0,1.0,2.0,2.0,1.0,7.0,1,3,-1,1,3,-1,2.0,4.0,-1.0,-1.0,-1.0
94,2,2.0,6.0,2,3,3,7.0,2.0,1.0,7.0,5.0,1,2.0,3.0,4.0,2.0,1.0,1.0,1,3,1,2,1,2,3.0,6.0,2.0,-1.0,1.0
95,-1,1.0,7.0,-1,-1,-1,-1.0,-1.0,1.0,7.0,4.0,3,3.0,1.0,2.0,3.0,3.0,7.0,1,-1,-1,1,3,2,5.0,1.0,-1.0,-1.0,-1.0
96,1,1.0,6.0,2,2,3,5.0,4.0,2.0,5.0,4.0,1,1.0,2.0,3.0,1.0,2.0,4.0,1,3,1,2,2,2,2.0,5.0,2.0,2.0,1.0
97,2,3.0,5.0,1,3,3,5.0,6.0,2.0,5.0,4.0,1,1.0,3.0,1.0,3.0,1.0,6.0,2,2,1,2,1,-1,5.0,4.0,2.0,2.0,1.0
98,-1,1.0,1.0,2,2,2,-1.0,-1.0,1.0,-1.0,-1.0,2,2.0,2.0,2.0,4.0,2.0,7.0,3,3,1,1,3,2,3.0,6.0,-1.0,-1.0,-1.0
99,-1,2.0,7.0,2,3,3,5.0,4.0,1.0,7.0,4.0,3,2.0,2.0,4.0,1.0,3.0,7.0,1,3,1,1,2,2,2.0,6.0,1.0,1.0,2.0
100,1,2.0,7.0,-1,-1,3,4.0,2.0,1.0,4.0,5.0,2,1.0,3.0,1.0,4.0,2.0,4.0,2,3,1,2,1,2,3.0,5.0,2.0,2.0,1.0
101,2,2.0,6.0,2,3,3,6.0,2.0,1.0,6.0,4.0,2,1.0,3.0,3.0,2.0,3.0,5.0,1,3,1,2,2,1,4.0,6.0,2.0,2.0,1.0
102,2,2.0,4.0,2,2,2,3.0,4.0,4.0,3.0,5.0,3,1.0,3.0,3.0,3.0,1.0,7.0,2,3,3,-1,1,1,3.0,5.0,2.0,2.0,1.0
103,1,3.0,4.0,2,2,3,4.0,4.0,3.0,5.0,4.0,3,1.0,3.0,3.0,2.0,3.0,7.0,2,3,1,1,3,2,5.0,6.0,2.0,2.0,1.0
104,2,1.0,7.0,1,3,3,7.0,1.0,1.0,6.0,5.0,1,1.0,3.0,4.0,2.0,1.0,1.0,1,3,1,2,1,1,2.0,7.0,2.0,2.0,1.0
105,2,1.0,6.0,2,1,2,3.0,2.0,2.0,5.0,4.0,2,1.0,2.0,2.0,2.0,2.0,6.0,1,3,1,1,2,2,4.0,4.0,-1.0,2.0,-1.0
106,1,1.0,3.0,2,1,3,5.0,1.0,4.0,7.0,4.0,2,2.0,1.0,2.0,2.0,3.0,7.0,3,3,3,1,3,1,7.0,3.0,1.0,1.0,1.0
107,2,4.0,7.0,2,1,3,7.0,4.0,4.0,6.0,5.0,3,1.0,1.0,3.0,2.0,4.0,7.0,3,3,1,1,1,2,4.0,5.0,1.0,1.0,1.0
108,2,2.0,7.0,2,2,2,6.0,2.0,1.0,7.0,5.0,-1,3.0,1.0,-1.0,-1.0,3.0,-1.0,-1,-1,-1,1,2,-1,6.0,2.0,1.0,-1.0,1.0
109,2,1.0,7.0,2,2,1,7.0,1.0,1.0,7.0,5.0,3,3.0,1.0,3.0,2.0,3.0,3.0,3,3,2,1,1,2,5.0,1.0,1.0,1.0,1.0
110,2,3.0,7.0,1,3,3,6.0,2.0,7.0,7.0,4.0,1,3.0,1.0,3.0,3.0,2.0,6.0,1,3,1,1,1,2,4.0,7.0,1.0,1.0,1.0
111,2,6.0,1.0,-1,-1,1,7.0,1.0,6.0,1.0,3.0,1,3.0,1.0,3.0,4.0,3.0,7.0,2,2,1,1,1,2,7.0,1.0,1.0,1.0,1.0
112,2,2.0,7.0,2,2,3,7.0,1.0,1.0,7.0,5.0,2,3.0,1.0,3.0,2.0,3.0,7.0,3,3,1,2,2,2,3.0,6.0,1.0,1.0,1.0
113,1,3.0,6.0,2,2,3,5.0,2.0,3.0,5.0,3.0,2,1.0,2.0,3.0,2.0,2.0,6.0,1,3,1,1,2,1,3.0,5.0,2.0,2.0,1.0
114,2,4.0,6.0,2,3,1,-1.0,3.0,2.0,-1.0,5.0,2,2.0,1.0,2.0,2.0,3.0,6.0,1,3,1,2,1,2,4.0,-1.0,1.0,1.0,1.0
115,2,1.0,6.0,2,3,3,3.0,1.0,6.0,-1.0,5.0,-1,2.0,1.0,-1.0,-1.0,3.0,-1.0,-1,-1,-1,1,3,-1,7.0,5.0,1.0,-1.0,1.0
116,2,2.0,6.0,2,2,3,6.0,2.0,3.0,-1.0,4.0,3,2.0,1.0,-1.0,3.0,3.0,7.0,1,1,1,1,3,2,5.0,-1.0,1.0,1.0,1.0
117,2,4.0,-1.0,2,3,3,-1.0,4.0,1.0,-1.0,5.0,2,3.0,1.0,1.0,1.0,3.0,6.0,3,3,1,1,2,3,4.0,-1.0,-1.0,-1.0,-1.0
118,2,3.0,7.0,1,1,2,6.0,3.0,5.0,7.0,5.0,2,3.0,1.0,3.0,1.0,2.0,7.0,2,2,1,1,3,3,4.0,7.0,1.0,-1.0,1.0
119,2,2.0,7.0,1,3,1,4.0,2.0,1.0,6.0,4.0,1,1.0,1.0,2.0,3.0,3.0,7.0,1,3,1,-1,2,2,4.0,4.0,1.0,2.0,2.0
120,2,4.0,7.0,2,1,2,-1.0,4.0,4.0,7.0,4.0,2,3.0,1.0,3.0,1.0,2.0,7.0,3,3,1,1,1,2,4.0,7.0,1.0,1.0,1.0
121,2,-1.0,-1.0,2,2,3,-1.0,-1.0,7.0,4.0,5.0,3,2.0,3.0,1.0,2.0,1.0,7.0,1,3,1,1,3,2,-1.0,-1.0,-1.0,-1.0,-1.0
122,2,2.0,7.0,2,2,3,7.0,7.0,2.0,7.0,4.0,-1,2.0,1.0,-1.0,-1.0,4.0,-1.0,-1,-1,-1,1,2,-1,3.0,7.0,1.0,-1.0,1.0
123,1,3.0,6.0,2,2,3,4.0,3.0,3.0,6.0,4.0,1,2.0,1.0,3.0,1.0,3.0,2.0,1,3,2,1,2,2,5.0,4.0,-1.0,2.0,-1.0
124,1,1.0,7.0,1,3,3,4.0,1.0,1.0,5.0,4.0,1,1.0,3.0,3.0,2.0,3.0,1.0,1,3,1,1,2,1,2.0,4.0,2.0,-1.0,1.0
125,1,5.0,1.0,2,3,1,2.0,6.0,4.0,7.0,5.0,-1,3.0,2.0,-1.0,-1.0,3.0,-1.0,-1,-1,-1,1,3,-1,3.0,6.0,1.0,-1.0,1.0
126,2,2.0,7.0,2,2,1,6.0,3.0,1.0,7.0,3.0,3,3.0,2.0,1.0,3.0,3.0,7.0,-1,3,2,1,2,3,5.0,3.0,-1.0,-1.0,-1.0
127,2,4.0,7.0,2,2,3,1.0,1.0,1.0,7.0,5.0,3,2.0,1.0,3.0,1.0,3.0,7.0,-1,3,-1,1,2,2,4.0,-1.0,1.0,1.0,1.0
128,1,3.0,4.0,2,3,3,5.0,4.0,4.0,3.0,4.0,2,2.0,1.0,3.0,2.0,3.0,4.0,2,-1,-1,2,2,2,5.0,5.0,1.0,-1.0,1.0
129,1,4.0,7.0,2,1,1,6.0,4.0,1.0,6.0,5.0,2,1.0,2.0,3.0,2.0,2.0,4.0,1,3,1,1,3,2,5.0,5.0,-1.0,2.0,-1.0
130,2,3.0,6.0,2,3,1,5.0,3.0,3.0,5.0,5.0,3,1.0,1.0,4.0,2.0,3.0,7.0,1,3,3,1,2,2,3.0,5.0,-1.0,-1.0,-1.0
131,2,4.0,7.0,2,2,3,6.0,3.0,4.0,4.0,5.0,3,1.0,1.0,1.0,4.0,3.0,7.0,2,3,1,2,1,2,4.0,6.0,1.0,1.0,1.0
132,2,3.0,7.0,2,1,2,1.0,4.0,2.0,7.0,5.0,3,2.0,1.0,3.0,2.0,4.0,7.0,1,2,-1,2,1,2,6.0,2.0,1.0,1.0,1.0
133,-1,3.0,4.0,2,1,1,4.0,3.0,-1.0,5.0,2.0,2,3.0,3.0,3.0,3.0,3.0,7.0,2,2,2,2,2,2,4.0,4.0,2.0,-1.0,2.0
134,-1,3.0,6.0,2,-1,-1,-1.0,2.0,2.0,6.0,4.0,3,2.0,1.0,2.0,3.0,3.0,7.0,1,3,1,1,2,3,-1.0,-1.0,1.0,1.0,-1.0
135,-1,-1.0,-1.0,2,2,3,-1.0,-1.0,-1.0,-1.0,-1.0,2,2.0,2.0,1.0,-1.0,1.0,7.0,3,-1,-1,1,2,-1,5.0,-1.0,-1.0,2.0,-1.0
